group_name,type,n_user_recommend,first_sighted,last_sighted,url,n_members
Ohio against masks!,group,1,2020-12-10,2020-12-10,https://www.facebook.com/groups/803167080217493,8800
NO MASKS SASKATCHEWAN,group,1,2020-12-11,2020-12-12,https://www.facebook.com/groups/3296673860416861,5000
Mainers Against Mask Mandates,group,1,2020-12-03,2020-12-13,https://www.facebook.com/groups/611624369550039,2200
Do not support PA businesses that require masks,group,4,2020-12-06,2021-01-03,https://www.facebook.com/groups/854517035059143,1200
Masses Against Masks,group,1,2021-01-10,2021-01-10,https://www.facebook.com/groups/205292410757424,928
"California No Mask, Don't Ask!",group,1,2021-01-13,2021-01-13,https://www.facebook.com/groups/1198478083826015,1600
No masks or social distancing for students when they return,page,1,2020-12-04,2020-12-04,https://www.facebook.com/No-masks-or-social-distancing-for-students-when-they-return-108062757572125/,
Christians Against Facemasks,page,1,2021-01-02,2021-01-06,https://www.facebook.com/NoFaceMasks/,
Masks not Required Unifour,page,1,2021-01-07,2021-01-07,https://www.facebook.com/Masks-not-Required-Unifour-108723554230103/,
NAMM Nurses Against Mandatory Masking,page,1,2021-01-12,2021-01-12,https://www.facebook.com/NAMM-Nurses-Against-Mandatory-Masking-851691205171548/,
No Mask Arizona,page,3,2021-01-11,2021-01-16,https://www.facebook.com/nomaskaz/,
No Mask Required No Mask Required No Mask Required,page,1,2021-01-28,2021-01-28,https://www.facebook.com/nomaskrequiredhhi/,
Indiana Against Mask Mandate.,page,4,2020-12-29,2021-02-22,https://www.facebook.com/Indiana-Against-Mask-Mandate-107315741059230/,
No Mask Nation USA,page,1,2021-03-01,2021-03-04,https://www.facebook.com/NoMaskNationUSA/,
NO MORE FACE MASKS,page,1,2021-04-03,2021-04-03,https://www.facebook.com/NOMOREMASKS4ME/,
