group_name,first_sighted,last_sighted,group_slug,n_members
#MentalHealthAwareness,2021-02-02,2021-02-03,443356545861684,55000.0
#ShadowWorkChallenge w/ Ashley Turner (Yoga for Mental Health),2021-04-30,2021-04-30,YogaForMentalHealth.AshleyTurner,17000.0
#maketheworldhealthy,2021-03-28,2021-04-10,maketheworldhealthy,494.0
(COVID-19) Caring Strangers of Sonoma County and Beyond,2021-03-22,2021-03-22,557844088066579,243.0
(REAL GROUP) Performers Outlet - COVID - 19,2021-03-18,2021-03-29,212422823462618,339.0
"10,000 Steps to Health and Wellness",2021-03-17,2021-03-17,3116192721791964,35.0
100MM Medicine Buddha Mantras,2021-01-23,2021-03-26,209294780315032,3200.0
11/23 Harvest a Healthy Home,2020-12-28,2020-12-31,1399123653625616,88.0
12 Step and Recovery Humor,2020-11-23,2021-02-01,287019282170729,5600.0
12 Steps to GOD'S Recovery,2020-11-30,2021-04-19,1468613526683715,6400.0
1200 Calories - Eat Healthy and Clean,2021-01-13,2021-02-01,1469649020014773,107000.0
15th Medical Battalion Association,2021-03-27,2021-03-27,15thMedicalBattalion,283.0
1st Class Medical Support Group,2021-02-24,2021-02-24,1stclassmedicalinfogroup,4500.0
3/30 Healthy Home Event,2021-04-19,2021-04-19,794183417886565,79.0
307 Teaching during Covid-19,2021-04-06,2021-04-06,230562128304185,2600.0
"307th Medical Battalion, 82nd Airborne Division",2021-02-16,2021-02-16,113759848895,516.0
3D Printing for Mental Health,2021-04-19,2021-04-30,3dmentalhealth,780.0
3H: Hiking for Health and Happiness,2021-04-05,2021-04-26,1382710695366335,4700.0
4’33” COVIDposting,2021-04-28,2021-04-28,521262681908433,
503 Recovery Mafia,2021-03-16,2021-03-19,349671912160511,6800.0
7 Springs Ministries Women's Recovery Tribe,2021-04-03,2021-04-03,343211649647070,2600.0
959th Medical Operation Squadron,2021-01-05,2021-01-05,665217413889593,87.0
A Bunch of Dads™ (In Recovery),2021-02-03,2021-02-03,ABODInRecovery,2400.0
"A GAL NEEDS....Health, Wellness, Beauty, & Giveaways",2021-03-17,2021-03-20,1313399112093975,227.0
A Shelter Through the Storm: Mental Health Support Group,2021-02-02,2021-02-03,1558624957754079,11000.0
A gift called Recovery,2021-03-19,2021-03-19,1035075156654229,23000.0
AA Recovery & Unity Discussion Group,2021-01-06,2021-01-14,AARECOVERYSERVICEUNITYGROUP2,25000.0
AA Women in Recovery,2021-01-16,2021-02-07,333027861126420,36.0
ACA Next Stage Recovery,2021-02-16,2021-04-23,acarecovery,813.0
AIH fitter and healthier,2021-04-27,2021-04-27,251942222703791,203.0
AK Edible and Medicinal Plants,2021-04-11,2021-04-11,1388959524654027,
ALCOHOLICS & ADDICTS RECOVERY GROUP,2020-12-29,2021-02-26,503125309751017,68000.0
ALL DAY ERR DAY 420 MEDICAL,2021-04-12,2021-04-12,1598713100139956,276.0
ALS Forum for Women (Lou Gehrig's disease),2021-02-23,2021-02-23,ALSforwomen,2000.0
AMS Healthy life style,2021-03-12,2021-04-08,759831584632793,3700.0
ARIcD Awareness for Rare and Invisible Chronic Disease,2021-03-21,2021-03-21,chronicallyrara,5000.0
Abby’s Healthy Home Workshop,2020-12-03,2020-12-06,956955754785586,
Abdominoperineal Resection (APR) Surgery and Barbie/Ken Butt Support Group,2021-02-03,2021-02-10,APRSurgery,520.0
Accountability for a healthy life,2021-03-30,2021-03-30,4186480764758652,256.0
Achieving Healthy Boundaries,2021-02-26,2021-03-01,2491755927581447,473.0
Adam Krieger/Mercy Howls Health and Support,2021-04-26,2021-04-27,804286536862804,149.0
Addict Nation-Recovery Support Group,2021-02-06,2021-02-08,643413435830614,7100.0
Addiction Recovery Support Group,2021-02-01,2021-02-01,720717014714213,106000.0
Adventures in RV Travel Nursing/Healthcare,2021-03-13,2021-04-30,AdventuresInRVTravelNursing,18000.0
Aesthetics and Medical Professionals,2020-12-29,2020-12-29,AestheticsandMedicalprofessionals,2500.0
After COVID,2021-01-19,2021-01-19,2781367662121063,103.0
Afterglow Life Services and Recovery Network,2021-04-23,2021-04-24,226067219109938,
Albert Einstein College of Medicine - Class of 2025,2021-04-23,2021-04-29,193356879252571,198.0
Aldi Healthy Eating & Weight Loss,2020-12-04,2021-03-10,343459419647566,98000.0
"All Black History, Art, Politics, Health",2021-04-19,2021-04-19,2194047554028000,1300.0
